title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
To Kill a Mockingbird,1962,Approved,2h 9m,8.3,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.","Crime,Drama","$2,000,000 (estimated)","$592,237","$599,146"
Amélie,2001,R,2h 2m,8.3,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.","Comedy,Romance","$10,000,000 (estimated)","$33,712,444","$174,917,076"
Full Metal Jacket,1987,R,1h 56m,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Drama,War","$30,000,000 (estimated)","$46,357,676","$46,361,894"
Heat,1995,R,2h 50m,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"Action,Crime,Drama","$60,000,000 (estimated)","$67,436,818","$187,436,818"
A Clockwork Orange,1971,R,2h 16m,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Crime,Sci-Fi","$2,200,000 (estimated)","$26,617,553","$27,023,100"
Double Indemnity,1944,Approved,1h 47m,8.3,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigato...","Crime,Drama,Film-Noir","$927,262 (estimated)","$19,324",
Up,2009,PG,1h 36m,8.3,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Animation,Adventure,Comedy","$175,000,000 (estimated)","$293,004,164","$735,102,136"
M,1931,Passed,1h 39m,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Crime,Mystery,Thriller","$35,566","$6,123","$35,566"
Incendies,2010,R,2h 11m,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Drama,Mystery,War","$6,800,000 (estimated)","$2,071,334","$6,797,861"
Vertigo,1958,PG,2h 8m,8.3,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis...","Mystery,Romance,Thriller","$2,479,000 (estimated)","$7,705,225","$7,804,803"
