title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
Hotel Rwanda,2004,PG-13,2h 1m,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography,Drama,History","$17,500,000 (estimated)","$23,530,892","$33,882,243"
The Seventh Seal,1957,Not Rated,1h 36m,8.1,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Drama,Fantasy","$150,000 (estimated)","$311,212","$311,212"
Rocky,1976,PG,2h,8.1,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Drama,Sport","$960,000 (estimated)","$117,235,147","$117,251,948"
Room,2015,R,1h 58m,8.1,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","Drama,Thriller","$13,000,000 (estimated)","$14,677,654","$35,402,766"
The Big Lebowski,1998,R,1h 57m,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Comedy,Crime","$15,000,000 (estimated)","$19,301,403","$48,066,229"
Jaws,1975,PG,2h 4m,8.1,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Adventure,Mystery,Thriller","$7,000,000 (estimated)","$266,567,580","$477,220,580"
Ratatouille,2007,G,1h 51m,8.1,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Animation,Adventure,Comedy","$150,000,000 (estimated)","$206,445,654","$623,728,318"
How to Train Your Dragon,2010,PG,1h 38m,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation,Action,Adventure","$165,000,000 (estimated)","$217,581,231","$494,879,860"
Mary and Max,2009,Not Rated,1h 32m,8.1,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.","Animation,Comedy,Drama","A$8,240,000 (estimated)","$1,740,625","$1,740,625"
Tokyo Story,1953,Not Rated,2h 16m,8.1,"An old couple visit their children and grandchildren in the city, but receive little attention.",Drama,"$88,647","$88,647","$88,647"
Mr. Smith Goes to Washington,1939,Approved,2h 9m,8.1,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries...","Comedy,Drama","$1,900,000 (estimated)","$144,738","$145,941"
Ford v Ferrari,2019,PG-13,2h 32m,8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2...,"Action,Biography,Drama","$97,600,000 (estimated)","$117,624,357","$225,508,210"
The Third Man,1949,Approved,1h 33m,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir,Mystery,Thriller","$1,067,364","$13,576","$1,233,079"
Mad Max: Fury Road,2015,R,2h,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named M...","Action,Adventure,Sci-Fi","$150,000,000 (estimated)","$154,280,290","$380,418,444"
Wild Strawberries,1957,Not Rated,1h 31m,8.1,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Drama,Romance","$60,418","$60,418","$60,418"
Sherlock Jr.,1924,Passed,45m,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Action,Comedy,Romance",$399,$399,$399
The Wages of Fear,1953,Not Rated,2h 11m,8.2,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure,Drama,Thriller","$1,098","$1,098","$1,098"
On the Waterfront,1954,Approved,1h 48m,8.1,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ...","Crime,Drama,Thriller","$910,000 (estimated)","$2,719","$2,719"
The Deer Hunter,1978,R,3h 3m,8.1,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"Drama,War","$15,000,000 (estimated)","$48,979,328","$49,080,126"
"Monsters, Inc.",2001,G,1h 32m,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ...","Animation,Adventure,Comedy","$115,000,000 (estimated)","$290,642,256","$579,723,768"
The General,1926,Passed,1h 18m,8.1,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ...","Action,Adventure,Comedy","$750,000 (estimated)",$612,$612
